Athlete,Nationality,Score,Date,Venue,Place
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1119,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",
Yomif KEJELCHA,ETH,1232,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",
Yomif KEJELCHA,ETH,1198,14 MAY 2016,"Shanghai Stadium, Shanghai (CHN)",
Yomif KEJELCHA,ETH,1205,27 MAY 2017,"Hayward Field, Eugene, OR (USA)",
Yomif KEJELCHA,ETH,1259,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",
Yomif KEJELCHA,ETH,1208,05 JUL 2019,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Yomif KEJELCHA,ETH,1163,10 OCT 2020,"FBK Stadium, Hengelo (NED)",
Yomif KEJELCHA,ETH,1239,09 JUN 2022,"Stadio Olimpico, Roma (ITA)",
Yomif KEJELCHA,ETH,1278,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,1288,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Yomif KEJELCHA,ETH,,12 AUG 2017,"Olympic Stadium, London (GBR)",4.
Yomif KEJELCHA,ETH,,29 AUG 2015,"National Stadium, Beijing (CHN)",4.
Yomif KEJELCHA,ETH,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",5.
Yomif KEJELCHA,ETH,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",8.
Yomif KEJELCHA,ETH,,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",1.
Yomif KEJELCHA,ETH,,25 JUL 2014,"Hayward Field, Eugene, OR (USA)",1.
Yomif KEJELCHA,ETH,,31 AUG 2023,"Letzigrund, Zürich (SUI)",1.
Yomif KEJELCHA,ETH,,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",1.
Yomif KEJELCHA,ETH,,05 JUL 2019,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Yomif KEJELCHA,ETH,,18 MAY 2019,"Shanghai Stadium, Shanghai (CHN)",1.
Yomif KEJELCHA,ETH,,11 SEP 2015,"Boudewijnstadion, Bruxelles (BEL)",1.
Yomif KEJELCHA,ETH,,04 JUN 2015,"Stadio Olimpico, Roma (ITA)",1.
Yomif KEJELCHA,ETH,,29 MAY 2015,"Hayward Field, Eugene, OR (USA)",1.
